Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),April 2013 to March 2014: volume,April 2013 to March 2014: digital volume,April 2013 to March 2014: cost per transaction (£),July 2013 to June 2014: volume,July 2013 to June 2014: digital volume,July 2013 to June 2014: cost per transaction (£),October 2013 to September 2014: volume,October 2013 to September 2014: digital volume,October 2013 to September 2014: cost per transaction (£),January 2014 to December 2015: volume,January 2014 to December 2015: digital volume,January 2014 to December 2015: cost per transaction (£),April 2014 to March 2015: volume,April 2014 to March 2015: digital volume,April 2014 to March 2015: cost per transaction (£),July 2014 to June 2015: volume,July 2014 to June 2015: digital volume,July 2014 to June 2015: cost per transaction (£),October 2014 to September 2015: volume,October 2014 to September 2015: digital volume,October 2014 to September 2015: cost per transaction (£),January 2015 to December 2015: volume,January 2015 to December 2015: digital volume,January 2015 to December 2015: cost per transaction (£),April 2015 to March 2016: volume,April 2015 to March 2016: digital volume,April 2015 to March 2016: cost per transaction (£),July 2015 to June 2016: volume,July 2015 to June 2016: digital volume,July 2015 to June 2016: cost per transaction (£),October 2015 to September 2016: volume,October 2015 to September 2016: digital volume,October 2015 to September 2016: cost per transaction (£),January 2016 to December 2016: volume,January 2016 to December 2016: digital volume,January 2016 to December 2016: cost per transaction (£),April 2016 to March 2017: volume,April 2016 to March 2017: digital volume,April 2016 to March 2017: cost per transaction (£),July 2016 to June 2017: volume,July 2016 to June 2017: digital volume,July 2016 to June 2017: cost per transaction (£),October 2016 to September 2017: volume,October 2016 to September 2017: digital volume,October 2016 to September 2017: cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: payment of annual fees,41,,,41,,,41,,,35,,,30,0,,20,0,2.95,22,0,,29,0,,47,0,,64,0,,61,0,,56,0,,49,0,,44,0,,51,0,,46,0,,37,0,,26,0,,15,0,,16,0,,17,0,,Making a payment,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for payment of annual fees (SP2).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patent renewals (F12),379116,317028,,357327,306525,2.95,402225,341896,2.95,403591,345212,2.95,400052,345751,2.95,400963,336442,2.95,405953,352502,2.95,400330,341938,2.95,407436,355897,2.95,411971,373365,2.95,407144,373764,2.95,412269,379574,2.95,415067,385444,2.95,413743,386519,2.95,416079,390636,2.95,420006,399874,2.95,419124,401477,,421824,405663,,425728,412231,2.95,430172,416923,2.95,435313,423315,,Making a payment,https://www.gov.uk/renew-patent,Data for renewals of patent intellectual property rights.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Bankruptcy and liquidation: payment requests,54000,,,52542,,,,,,50478,0,,36764,0,,34673,0,,34669,0,,33512,0,,32838,0,,33352,0,,33526,0,,35274,0,,38534,0,,42168,0,,41400,0,,39227,0,,37192,0,,35491,0,,39271,0,,41700,0,,46858,0,,"Requesting benefits, payments or loans",https://www.gov.uk/government/publications/bankruptcy,"Data for payment requests (CAU101, CAU105 and CAU109) received from Insolvency Practitioners.",,,Individuals,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Ordnance Survey,OS,Ordnance Survey products: physical product fulfillment,65812,65812,,73437,,,73437,,,70666,0,,66598,0,,69158,0,,70500,0,,74009,0,,79471,0,,84168,0,,86996,0,,90082,0,,92632,0,,94985,0,,96014,0,,94504,0,,92319,0,,90577,0,,91857,0,,92474,0,,94644,0,,Ordering goods,https://www.ordnancesurvey.co.uk/,Data for physical product fulfillment by Ordance Survey.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Preliminary information questionnaire for bankrupts and company officers,14000,,,13622,,,,,,9725,0,,9469,0,,9001,0,,9063,0,,8913,0,,11430,0,,11213,0,,10887,0,,10424,0,,7296,0,,7276,0,,7196,0,,6980,0,,6771,0,,6798,0,,6602,0,,6511,0,,6430,0,,Providing information,https://www.gov.uk/government/organisations/insolvency-service,Data for preliminary information questionnaires for bankrupts (PIQB) and company officers (PIQC).,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Bankruptcy and liquidation: proof of debt,87301,,,80106,,,,,,109250,0,,643,0,,647,0,,590,0,,555,0,,565,0,,519,0,,608,0,,585,0,,531,0,,528,0,,413,0,,386,0,,339,0,,293,0,,265,0,,206,0,,153,0,,Providing information,https://www.gov.uk/government/organisations/insolvency-service,"Data for proofs of debt submitted by the creditor to the liquidator, official receiver or trustee.",,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Applications for quality management systems certification,120,35,,24,,,27,,,32,,,34,,,37,,,41,,,38,,,32,32,,32,32,,28,28,,30,30,,32,32,,25,25,,20,20,,18,18,,16,16,,13,13,,12,12,,15,15,,12,12,,Requesting a licence or consent,http://www.nmodoitonline.bis.gov.uk/applicationform/Quality_Management_System_Certification_On-line_Application_Form.aspx,Data for applications for quality management systems certification.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Queen's Awards: online account registrations,2517,2517,,1924,1924,,1902,1902,,1637,1637,,2105,2105,,2092,2092,,2035,2035,,2540,2540,,1716,1716,,1717,1717,,1707,1707,,6237,1545,,7274,2971,,674,3080,,7462,7462,,2910,2910,,2095,2095,,2472,2472,,3119,3119,,3165,3165,,3893,3893,,Registering,https://www.gov.uk/queens-awards-for-enterprise/overview,"Data for registrations for an online account, to apply for or nominate someone for the Queen's Awards for Enterprise.",,,Business and individuals,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Queen's Awards: online applications and nominations,920,920,,645,645,,645,645,,647,647,,842,842,,842,842,,842,842,,845,845,,639,639,,639,639,,639,639,,784,784,,674,674,,674,674,,674,674,,520,520,,98,98,,98,98,,101,101,,103,103,,1446,1446,,Providing information,https://www.gov.uk/queens-awards-for-enterprise/overview,Data for online applications and nominations for the Queen's Awards for Enterprise.,,,Business and individuals,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Redundancy payments,,,,,,,,,,,,,93890,0,31.00,84882,,33.00,86850,,33.00,90139,,33.00,95969,,33.00,102634,146,76.00,99627,5000,75.07,101250,13378,75.83,100180,26566,79.86,101021,50768,80.84,98332,69781,77.17,94439,83882,82.44,101644,101164,82.44,100271,100182,82.44,100548,100544,77.57,100138,100138,73.09,91874,91874,,,https://www.gov.uk/claim-redundancy,Data for the support and process individual claims for statutory redundancy pay by employees of insolvent firms.,,,Individuals,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade mark applications,33950,30424,,37523,36047,216.00,40961,38353,216.00,42574,40308,216.00,44649,43126,216.00,46348,44828,216.00,48921,47653,216.00,49903,48666,216.00,51555,49179,216.00,52149,50048,216.00,53338,51355,216.00,54122,52295,216.00,53985,53209,216.00,54227,53467,216.00,54785,54041,216.00,56084,55416,216.00,58901,58276,,61534,60911,,64695,64090,216.00,68256,67593,216.00,71438,70824,,Registering,https://www.gov.uk/how-to-register-a-trade-mark,Data for applications to register a trade mark covering one or more classes of goods or service (TM3).,These costs are based on our fee charges data produced for 10/11 and exclude policy cost,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Registrations and updates of Individual Voluntary Arrangements (IVAs).,63312,,,46674,,,,,,45910,0,,47606,0,,49971,0,,51561,0,,53921,0,,53700,0,,52190,0,,49199,0,,56209,0,,66936,0,,76685,0,,86604,0,,89544,0,,91832,0,,94300,0,,100666,0,,100790,0,,111167,0,,Registering,https://www.gov.uk/government/organisations/insolvency-service,Data for registrations and updates of Individual Voluntary Arrangements (IVAs) between a debtor and creditors.,,,Individuals,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Designs: registered design renewals,,,,,,,,,,,,,,,,,,,3259,1588,,3184,1487,,3345,1583,,3335,1565,,3452,1683,,3412,1697,,3344,1708,,3351,1735,2.95,3517,1735,2.95,3549,1767,2.95,3449,1737,,3813,1876,,6749,1967,2.95,6937,2080,2.95,7128,2154,,,https://www.gov.uk/renew-registered-design,Data for renewals of registered design intellectual property rights.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Innovate UK,,Innovate UK funding: registrations to apply for grants,,,,12555,,,12243,,,12949,12949,,13695,13695,,14347,14347,,16720,16720,,16067,16067,,14728,14728,,13047,13047,,11728,11728,,10751,10751,,12507,12507,,13873,13873,,11352,11352,,13703,13703,,18356,18356,,19198,19198,,23366,23366,,21821,21821,,14770,14770,,Registering,https://www.gov.uk/government/collections/innovation-grants-for-business-apply-for-funding,Data for registrations to apply for grants.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Innovate UK,,Innovate UK funding: registrations for Knowledge Transfer Network,,,,18927,,,20600,,,26144,26144,,24027,24027,,22135,22135,,20413,20413,,18940,18940,,18468,18468,,17619,17619,,16611,16611,,16149,16149,,15601,15601,,15425,15425,,13875,13875,,12641,12641,,10950,10950,,10816,10816,,11081,11081,,11549,11549,,10966,10966,,Registering,https://connect.innovateuk.org/web/ktn-access,"Data for registrations on the connect platform, to apply for some competitions, access communities and content, and to make grant claims.",,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade mark renewals,19282,,,11677,0,2.95,12850,0,2.95,12575,1427,2.95,12201,2726,2.95,12216,4264,2.95,12070,6870,2.95,12862,8459,2.95,14626,10070,2.95,17667,13258,2.95,21848,17128,2.95,24938,20045,2.95,26911,22465,2.95,26849,22758,2.95,26657,22913,2.95,26283,22926,2.95,26152,23113,,26408,23320,,43900,24346,2.95,44584,25829,2.95,45655,27045,,Registering,https://www.gov.uk/renew-your-trade-mark,Data for trade mark renewal applications.,These costs are based on our fee charges data produced for 10/11 and exclude policy cost,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests for a certificate from the Comptroller,4564,970,,4564,,,11398,,,11521,,,11400,0,,11203,51,,10047,110,,7355,179,,6875,239,,5722,188,,6712,186,,8682,184,,8597,166,,9084,232,,8526,249,,8493,228,,7520,186,,6802,120,,5991,46,,5333,0,,5509,0,,Registering,https://www.gov.uk/get-uncertified-electronic-copy-patent,Data for requests for a certificate from the Comptroller or a certified or uncertified copy from a file or register (F23).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests for a certified copy of a trade mark,,,,,,,6720,0,,6523,,,6599,0,,6408,0,,6484,0,,6475,0,,5723,0,,5114,0,,4048,0,,4190,0,,4255,0,,4044,0,,4054,0,,3822,0,,3844,0,,3920,0,,4038,0,,3491,0,,3523,0,,Requesting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests for a certified copy of a trade mark or trade mark application (TM31R).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests for a further search under section 17(6) or payment for a supplementary certificate,15665,10490,,15665,,,17143,,,14821,14082,,14899,14420,,15039,14899,,15273,15212,,15983,15400,,16572,15487,,17075,15361,,17283,15222,,17324,15117,,17394,15115,,17064,14795,,17183,14743,,17207,15053,,16596,14817,,16596,14680,,15457,14222,,15377,14069,,15925,14304,,Requesting information,https://www.gov.uk/file-documents-pending-patent,Data for requests for a further search under section 17(6) or payment for a supplementary certificate under section 17(8) (F9/F9A).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: requests to authorise release of biological material,1,,,1,,,,,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Requesting a licence or consent,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,Data for requests for certificate authorising the release of a sample of biological material (F8).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: requests for a cooling off period,375,,,375,,,17,,,5,,,123,0,,255,0,,375,0,,489,0,,499,0,,491,0,,478,0,,508,0,,560,0,,592,0,,589,0,,516,0,,415,0,,367,0,,337,0,,447,0,,540,0,,Requesting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,"Data for requests for an extension of time to resolve filing deficiencies, deal with post-pub issues or retrospectively extend deadline (TM9).",,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests for an extension of time to resolve filing deficiencies etc,768,,,768,,,502,,,520,,,465,0,,493,0,,433,0,,399,0,,427,0,,343,0,,365,0,,335,0,,310,0,,291,0,,288,0,,280,0,,299,0,,345,0,,320,0,,331,0,,347,0,,Requesting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,"Data for requests for an extension of time  to resolve filing deficiencies, deal with post-pub issues or retrospectively extend deadline (TM9).",,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: requests for extension to the cooling off period,96,,,96,,,88,,,159,,,173,0,,143,0,,175,0,,143,0,,157,0,,217,0,,209,0,,228,0,,235,0,,232,0,,242,0,,267,0,,253,0,,261,0,,264,0,,240,0,,251,0,,Requesting a licence or consent,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests for extension to the cooling off period (TM9E).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests for information about applications and registered trade marks,3,,,3,,,185,,,39,25,,38,0,,37,0,,18,0,,20,0,,11,0,,4,0,,4,0,,1,0,,1,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Requesting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests for information about applications and registered marks (TM31C).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests for information in relation to an international trade mark,0,,,0,,,11,0,,9,,,8,0,,7,0,,0,0,,6,0,,6,0,,6,0,,6,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Requesting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests for information in relation to an international trade mark (TM31M).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: requests for opinion as to validity or infringement,24,,,24,,,28,,,29,,,27,0,,22,0,,24,0,,25,0,,23,0,,30,0,,32,0,,28,0,,25,0,,16,0,,19,0,,21,0,,27,0,,30,0,,41,0,,40,0,,46,0,,Requesting information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,Data for requests for opinion as to validity or infringement (F17).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: requests for recordal of concurrent registration,7,,,7,,,,,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests for recordal of concurrent registration (TM28).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: requests for statement of reasons,12,,,12,,,24,,,31,,,25,0,,26,0,,20,0,,20,0,,20,0,,24,0,,25,0,,21,0,,21,0,,15,0,,13,0,,13,0,,8,0,,11,0,,13,0,,11,0,,15,0,,Requesting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests for statement of reasons for registrar's decision (TM5).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: requests for substantive examination,10070,6526,,10070,,,11645,,,11871,9497,,11839,9853,,11579,9889,,11407,9997,,12382,10860,,12550,10869,,12686,10963,,12780,11052,,11865,10354,,12160,10512,,12309,10572,,12827,10753,,13056,11008,,12949,10918,,12958,10832,,12611,10626,,12474,10467,,12523,10617,,Requesting information,https://www.gov.uk/file-documents-pending-patent,Data for requests for substantive examination (F10).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests to be informed of future events relating to a patent application or patent (caveat),143,,,143,,,129,,,118,,,77,0,,71,0,,75,0,,81,0,,103,0,,85,0,,84,0,,95,0,,110,0,,123,0,,133,0,,124,0,,116,0,,131,0,,124,0,,141,0,,145,0,,Requesting information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,Data for requests to be informed of future events relating to a patent application or patent (caveat) (F49).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: requests to correct a name or address,1309,,,1309,,,,,,898,,,956,0,,982,0,,1014,0,,1011,0,,941,0,,949,0,,990,0,,999,0,,997,0,,1039,0,,1639,0,,1636,0,,1730,0,,1759,0,,1193,0,,1829,0,,2349,0,,Amending/deleting information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,Data for requests to correct a name or address in a patent (F20).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: requests to divide an application,40,,,40,,,40,,,46,,,38,0,,35,0,,34,0,,30,0,,30,0,,27,0,,30,0,,28,0,,23,0,,22,0,,18,0,,15,0,,18,0,,18,0,,23,0,,23,0,,20,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests to divide an application (TM12).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: requests to extend a prescribed time limit,659,,,659,,,651,,,635,,,627,0,,585,0,,453,0,,453,0,,475,0,,482,0,,507,0,,525,0,,529,0,,473,0,,459,0,,457,0,,479,0,,537,0,,968,0,,969,0,,970,0,,Requesting a licence or consent,https://www.gov.uk/file-documents-pending-patent,Data for requests to extend a prescribed time limit (F52).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: requests to merge applications or registrations,489,,,489,,,459,,,388,,,247,0,,89,0,,91,0,,96,0,,97,0,,133,0,,166,0,,195,0,,216,0,,216,0,,201,0,,184,0,,175,0,,155,0,,174,0,,184,0,,219,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests to merge applications or registrations (TM17).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: requests to proceed to evidence rounds,5,,,5,,,,,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Requesting a licence or consent,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests to proceed to evidence rounds (TM53).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests to reinstate a patent application,64,,,64,,,46,,,45,,,49,0,,51,0,,54,0,,49,0,,51,0,,45,0,,39,0,,48,0,,37,0,,54,0,,55,0,,54,0,,53,0,,29,0,,24,0,,8,0,,6,0,,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,Data for requests to reinstate a patent application (F14).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests to restore or renew a trade mark registration,88,,,88,,,85,,,79,,,63,0,,64,0,,45,0,,43,0,,49,0,,57,0,,59,0,,69,0,,69,0,,61,0,,81,0,,86,0,,96,0,,118,0,,119,0,,114,0,,115,0,,Registering,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests to restore or renew a registration (TM13).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: requests to terminate the cooling off period,11,,,11,,,2,,,2,,,3,0,,1,0,,4,0,,8,0,,12,0,,22,0,,23,0,,20,0,,21,0,,12,0,,11,0,,11,0,,9,0,,12,0,,12,0,,37,0,,37,0,,Requesting a licence or consent,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests to terminate the cooling off period (TM9T).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests not to publish patent applications in the Patents Journal,3113,,,10,,,,,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,,1,0,,1,0,,1,0,,7,0,,7,0,,7,0,,7,0,,1,0,,1,0,,1,0,,Requesting a licence or consent,https://www.gov.uk/government/organisations/intellectual-property-office,Data for requests not to publish patent applications in the Patents Journal.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Research Councils,,Research Councils: grant applications,,,,15724,,,14725,,,14675,,,15264,,,14106,,,15229,,,15200,,,14814,14814,,14725,14725,,14809,14809,,15128,15128,,14920,14920,,15564,15564,,15063,15063,,14821,14821,,15303,15303,,15345,15345,,15406,15406,,15343,15343,,14936,14936,,"Requesting benefits, payments or loans",https://je-s.rcuk.ac.uk/,"Data for grant applications made to the UK Research Councils, processed by UK Shared Business Services Ltd (UK SBS).",,Data only includes version 1 grants. Outline grants (included here) are usually excluded from individual Research Council reporting.,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Research Councils,,Research Councils: Sponsored Scientific Researcher Initiative placements,11,11,,17,,,8,,,22,,,31,,,37,,,36,,,37,,,29,29,,34,34,,44,44,,45,45,,53,53,,55,55,,51,51,,68,68,,69,69,,56,56,,55,55,,38,,,39,39,,"Requesting benefits, payments or loans",http://www.uksbs.co.uk/services/ssri/,"Data for SSRI research placements, enabling organisations to engage research scientists in formal research projects.",,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Right Start,5951,5951,,5951,,,9739,,,9957,9957,,10877,10877,,11582,11582,,11963,11963,216.00,12883,12883,216.00,13021,13021,216.00,12693,12693,216.00,12659,12659,204.85,12455,12455,204.85,12329,12329,204.85,12221,12221,204.85,12293,12293,204.85,12043,12043,204.85,12189,12189,,12743,12743,,13409,13409,204.85,14410,11089,204.85,14534,11213,,Registering,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for Right Start.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Land Registry,HMLR,Land Registry: search of part,233907,,,,,,,,,,,,,,,,,,259953,215752,,267458,228413,,277003,243059,,281427,252369,,286659,262774,,294155,274704,,303815,287895,,318983,306198,,336572,325838,,344741,335629,,351979,344148,,357517,351005,,362386,356618,,369688,364502,,374141,369730,,Requesting information,https://www.gov.uk/government/collections/business-e-services,"Data for protected applications for official searches, which freeze part of the title for a priority period.",,Number of digital transactions taken from the delivery channel for each service. Applications lodged electronically may still require some manual intervention. Figure is based on an average percentage basis across each quarter.,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Land Registry,HMLR,Land Registry: searches for title numbers,1636205,1060308,9.28,,,,,,,,,,,,,,,,574606,487033,,549905,470553,,486762,420611,,417524,364232,,349989,307189,,312279,277457,,292199,262867,,281285,255911,,272568,250657,,270298,250470,,264838,246911,,262412,246076,,261561,246095,,257404,243098,,258599,244830,,Requesting information,https://www.gov.uk/government/collections/business-e-services,"Data for searches of the index map to find out whether or not land is registered and, if so, to obtain the title number.",,"Digital transactions are defined as those lodged and processed electronically, and those lodged electronically but which require some manual intervention. Figures are based on an average percentage basis across each quarter.",Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Land Registry,HMLR,Land Registry: searches of whole register,1733839,1648405,2.64,,,,,,,,,,,,,,,,1933916,1914576,,1972199,1942832,2.55,2000973,1973282,2.55,1985016,1960705,2.55,1952499,1931684,2.26,1939261,1931773,2.26,1951027,1945567,2.26,1978686,1973873,2.26,2086414,2081874,2.26,2088881,2084725,2.26,2072623,2068821,2.26,2070264,2066729,2.26,2018070,2014741,2.93,2047596,2044528,2.93,2096128,2093341,,Requesting information,https://www.gov.uk/search-property-information-land-registry,"Data for protected applications for official searches, which 'freeze' the title for a priority period.","Digital Transactions are defined as those lodged by a customer through a digital channel. Once received some of these transactions are processed automatically whilst others require manual intervention and subsequently incur greater costs. As fewer transactions are lodged through non-digital channels a greater proportion of digital transactions require such manual intervention. Therefore whilst overall efficiency of a service may improve, the calculated average cost per digital transaction may be negatively impacted.<br><br>Land Registry costs are based on total costs per the 2014/15 published accounts (excluding exceptional items). Because our costs do not incur evenly, transaction costs based on published annual accounts represent a more stable reflection of the costs of delivering services and exclude changes purely resulting from the uneven profile of our costs. Apportioned costs include (but are not limited to) labour, accommodation, office equipment, information services, depreciation, provisions, fees paid, and general overheads; all attributed using the most appropriate cost driver. Costs also include that of indemnity, being compensation paid to injured parties such as victims of property fraud. Payments and required movements in the provision for such payments (as determined by an independent actuary) create a significant degree of annual fluctuation in costs which impact on cost per transaction accordingly.","A person who wishes to protect a future update to the register, such as a purchase or a mortgage, may make an official search against the registered title. The effect of the official search is to ""freeze"" the title which prevents another application being registered until the protected application is made. <br/><br/> Applications lodged electronically may still require some manual intervention. ",Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,"Right Start, second part",4687,4687,,4687,,,7221,,,7956,7956,,8903,8903,,9127,9127,,9537,9537,,9592,9592,,9580,9580,,9863,9863,,10032,10032,,9795,9795,,9530,9530,,9346,9346,,9309,9309,,9626,9626,,9578,9578,,10361,10361,,11105,11105,,11606,11606,,12527,12527,,Registering,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for second part of Right Start (TM3S.),,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: statements of inventorship,8301,5139,,8301,,,3248,,,5301,,,7352,4055,,9677,6352,,11988,8622,,12077,8704,,12086,8641,,11382,8655,,11151,8576,,10907,8648,,10881,8726,,11291,8680,,11181,8599,,11191,6493,,11251,6519,,11034,6384,,9959,5928,,9959,8139,,9621,8407,,Providing information,https://www.gov.uk/file-documents-pending-patent,Data for statements of inventorship and of right to grant of a patent (F7),,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Bankruptcy and liquidation: tax and National Insurance disclosure (TNIDIS) forms issued,30000,0,,29190,0,,,,,31710,0,,26071,0,,24571,0,,23579,0,,22551,0,,21442,0,,20242,0,,18965,0,,17483,0,,16477,0,,15828,0,,15132,0,,14850,0,,14881,0,,14939,0,,15301,0,,15335,0,,15147,0,,Requesting a licence or consent,https://www.gov.uk/government/organisations/insolvency-service,Data for issues of the TNIDIS form that authorises the payment to the official receiver (or trustee) any applicable income tax refunds.,,,Business,Taxpayers
